🌷丨央视,#genre#
昆明影视,http://ynxsj.7766.org:9901/tsfile/live/1016_1.m3u8
昆明新闻,http://ynxsj.7766.org:9901/tsfile/live/1019_1.m3u8
昆明科教,http://ynxsj.7766.org:9901/tsfile/live/1010_1.m3u8
昆明教育,http://ynxsj.7766.org:9901/tsfile/live/1012_1.m3u8




🌷丨卫视,#genre#

河南卫视,http://101.33.17.11/liveplay-kk.rtxapp.com/live/program/live/hnwshd8m/8000000/mnf.m3u8
河南卫视,https://iptv.luas.edu.cn/liverespath/4bc76db1677c6cd2176e652ed6fc1cd44d8c297b/7e48b7ea4e-0-0-2194365130f8ace34d2ccabbc0ebb3f4/index.m3u8
兵团卫视,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226214/index.m3u8 $移动超清
西藏卫视,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226212/index.m3u8 $移动超清
延边卫视,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226220/index.m3u8 $移动超清
农林卫视,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226229/index.m3u8 $移动超清
大湾区卫视,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226218/index.m3u8 $移动超清
卡酷,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225743/index.m3u8 $移动超清
哈动,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226213/index.m3u8 $移动超清
嘉佳卡通,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226227/index.m3u8 $移动超清
香卫视,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8
梨园,http://183.196.25.171:808/hls/89/index.m3u8
安徽卫视,http://snapshot-live-ht.ahtv.cn/atvrtmp/143_q_live161829313317020.m3u8
安徽公共,http://snapshot-live-ht.ahtv.cn/atvrtmp/143_q_live161829349154529.m3u8
安徽农业科教,http://snapshot-live-ht.ahtv.cn/atvrtmp/143_q_live161829358013848.m3u8





